metros;valor
199;1710000
206;2160000
216;2130000
218;2160000
221;2200000
229;2300000
64;363000
77;457000
83;557000
86;400000
98;450000
62;402000
81;526000
81.1;555000
84;526000
60;438000
66;482000
84.1;613
106;774000
119;869000
149;1200000
154;1120000
156;1300000
176;1280000
67;513000
72.1;651000
77.1;606000
108.1;871000
121;879000
166.1;1580000
171;988000
217;2080000
160;1180000
160.1;1190000
160.15;1200000
161;1190000
60.2;350000
74.2;450000
65.1;604000
79.1;722000
98.1;901000
117;1070000
147;1360000
147.1;1370000
155;1300000
161;1350000
173;1450000
175;1460000
229;1940000
292;2400000
47;498000
69;619000
72;651000
104;860000
129;1640000
49;510000
131;778000
133;787000
138;819000
180;2060000
361;2970000
152;1250000
153;1230000
157;1340000
158;1330000
161;1350000
350;3460000
383;4410000
463;5340000
750;8600000
365;4500000
103;760000
170;1670000
206;2000000
247;2310000
356;3390000
252;2760000
302;3490000
415;5370000
130;1090000
67;604000
141;1170000
157;1310000
168;1400000
180.1;1500000
191;1590000
194;1610000
198;1650000
47.1;306000
49.2;316000
69.1;447000
73.1;478000
42.1;491000
48;490000
73.2;687000
172;1480000
349;3280000
40;443000
49.2;471000
72.1;659000
84.1;743000
86;738000
87.1;782000
105.1;1170000
84.1;685000
87.2;699000
51;452000
56.1;475000
71.2;601000
77.2;637000
81.1;675000
100;868000
100.1;831000
267;2610000
270;2730000
271;2790000
220;2240000
220.1;2240000
246;2490000
248;2520000
162;1490000
206;1950000
240.1;2340000
81;764000
106;892000
124;1050000
218;1880000
96;1110000
119;970000
150;1210000
560;2860000
561;2860000
952;4940000
162.1;1610000
167.1;1760000
239;2080000
245;2130000
326;3490000
114;963000
62;505000
62.1;508000
69.2;569000
68.1;614000
71;614000
119;1080000
65;604000
79;722000
98;901000
117.1;1070000
147;1360000
147.1;1370000
69.1;563000
80.1;606000
119;899000
121;913000
58;543000
110.1;1030000
143;1350000
164;1830000
49;434000
54;481000
76;679000
83;757000
93.1;857000
107.1;960000
61;481000
69.2;536000
91;781000
98;841000
176;1080000
45;327000
47;351000
47.2;362000
54;400000
60;445000
74;549000
93;656
66;599000
137.2;1480000
104;835000
115;933000
137;1190000
